KARNATAKA STATE ROAD TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,
DIVISIONWISE OPERATIONAL RESULTS FOR THE MONTH OF DECEMBER-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sl.No.,Factor,BNG©,RMN,TMK,KLR,CBP,MYS(U),MYS(R),MDY,CJR,HSN,CKM,MNG,PTR,DVG,SMG,CDG,KBS,KSRTC
,Physical performance,,,,,,,,,,,,,,,,,,
1,Schedules,589,471,572,512,521,364,617,416,463,523,493,480,486,334,321,266,,7428
,(As on last day),,,,,,,,,,,,,,,,,,
2,Fleet Held,743,498,620,539,564,431,688,447,509,542,526,583,545,353,352,304,,8244
,(As on last day),,,,,,,,,,,,,,,,,,
3,Fleet Utilisation (%),69,80.2,87.3,87.8,91,79.7,79.6,83.7,87.8,90.6,93.5,81.1,85.7,95.6,84.4,86.2,,84.6
,,,,,,,,,,,,,,,,,,,
4,% off road  vehicles,5.4,7.2,5.2,3.7,4.1,4.6,5.5,6.4,5.5,7.5,4,6.4,5.6,4.2,3.8,6,,5.3
,,,,,,,,,,,,,,,,,,,
5,Schedule kms (in lakh),63.9,38.99,59.89,46.71,52.52,22.49,66.12,39.24,46.44,53.68,52.55,54.39,47.46,35.86,33.13,28.32,,741.69
,,,,,,,,,,,,,,,,,,,
6,Effective Kilometers (in lakh),69.84,41.45,56.68,50.48,56.07,21.99,67.33,40.88,47.27,53.58,53.79,54.28,46.15,36.01,34.25,28.43,,758.49
,,,,,,,,,,,,,,,,,,,
7,Vehicle Utilisation (in kms),439,335,338,344,353,207,398,352,341,352,352,370,318,344,372,350,,351
,,,,,,,,,,,,,,,,,,,
8,Gross kms (in lakh),72.06,42.75,58.27,52.02,57.92,22.87,69.14,42,48.33,55.99,56,55.31,46.99,37.54,36.17,30.36,,783.72
9,HSD consumed (in lakh),15.79,8.61,11.32,10.03,10.78,5.13,14.58,8.3,9.49,11.26,10.91,12.31,9.84,7.22,7.29,5.84,,158.7
10,KMPL (HSD),4.56,4.97,5.15,5.19,5.37,4.46,4.74,5.06,5.09,4.97,5.13,4.49,4.77,5.2,4.96,5.2,,4.94
,,,,,,,,,,,,,,,,,,,
11,No.of Break  downs,15,5,22,5,4,1,5,9,8,13,7,14,13,5,9,11,,146
,Rate of BD per 10000 km,0.02,0.01,0.04,0.01,0.01,0,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0.03,0.04,,0.02
12,No. of Accidents,7,6,4,2,2,0,5,1,6,6,3,4,2,2,4,3,,57
,Rate of Accdt per 100000 km,0.1,0.14,0.07,0.04,0.04,0,0.07,0.02,0.13,0.11,0.06,0.07,0.04,0.06,0.12,0.1,,0.08
,,,,,,,,,,,,,,,,,,,
,Financial performance,,,,,,,,,,,,,,,,,,
13,Traffic Revenue,2621.33,1266.53,1659.75,1471.44,1737.65,777.61,2215.8,1167.26,1484.9,1496.52,1533.01,1875.94,1463.27,1223.55,1061.02,886.79,22.07,23964.44
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
14,Other Revenue,201.07,49.93,102.76,62.42,118.02,26.54,53.6,31.15,52.38,101.91,66.6,96.47,40,83.56,41.99,43.67,125.8,1297.87
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
15,Gross Revenue,2822.4,1316.46,1762.51,1533.86,1855.67,804.15,2269.4,1198.41,1537.28,1598.43,1599.61,1972.41,1503.27,1307.11,1103.01,930.46,147.87,25262.31
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
16,Cost of Operation,3364.43,1717.82,2187.09,2064.03,2040.56,1347.93,2690.16,1628.2,1725.93,2175.05,2073.54,2300.11,1860.88,1431.46,1452.83,1154.28,280.2,31494.51
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
17,Margin  (Rs. in lakh),,,,,,,,,,,,,,,,,,
,a. On traffic revenue,-743.1,-451.29,-527.34,-592.59,-302.91,-570.32,-474.36,-460.94,-241.03,-678.53,-540.53,-424.17,-397.61,-207.91,-391.81,-267.49,-258.13,-7530.07
,b. on gross revenue,-542.03,-401.36,-424.58,-530.17,-184.89,-543.78,-420.76,-429.79,-188.65,-576.62,-473.93,-327.7,-357.61,-124.35,-349.82,-223.82,-132.33,-6232.2
,,,,,,,,,,,,,,,,,,,
18,EPKM (in paise)    ,3753.2,3055.6,2928.3,2914.9,3098.8,3536.2,3291,2855.1,3141.3,2793.1,2850.1,3455.8,3170.5,3398.2,3097.7,3119.2,,3159.5
,(On traffic revenue),,,,,,,,,,,,,,,,,,
19,EPKM (in paise)    ,4041.1,3176.1,3109.6,3038.5,3309.3,3656.9,3370.6,2931.3,3252.1,2983.3,2974,3633.5,3257.2,3630.2,3220.3,3272.8,,3330.6
,(On Gross revenue),,,,,,,,,,,,,,,,,,
