KARNATAKA STATE ROAD TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,
DIVISIONWISE OPERATIONAL RESULTS FOR THE MONTH OF JANUARY-2022,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sl.No.,Factor,BNG©,RMN,TMK,KLR,CBP,MYS(U),MYS(R),MDY,CJR,HSN,CKM,MNG,PTR,DVG,SMG,CDG,KBS,KSRTC
,Physical performance,,,,,,,,,,,,,,,,,,
1,Schedules,592,473,575,512,528,368,620,416,463,522,499,481,488,338,323,277,,7475
,(As on last day),,,,,,,,,,,,,,,,,,
2,Fleet Held,741,496,615,539,564,431,688,447,509,542,526,571,542,358,352,303,,8224
,(As on last day),,,,,,,,,,,,,,,,,,
3,Fleet Utilisation (%),58.7,81.7,80.3,83.2,87.0,71.5,74.9,77.4,82.9,85.5,87.3,77.0,79.3,90.5,82.2,81.9,,79.3
,,,,,,,,,,,,,,,,,,,
4,% off road  vehicles,5.4,3.3,4.6,3.4,3.6,3.9,6.4,4.7,5.9,7.5,3.5,7.4,5.2,4.6,4.3,6.9,,5.1
,,,,,,,,,,,,,,,,,,,
5,Schedule kms (in lakh),55.55,36.71,52.81,43.49,51.17,19.66,58.32,39.44,43.48,50.62,47.81,51.86,42.51,33.00,30.24,27.94,,684.61
,,,,,,,,,,,,,,,,,,,
6,Effective Kilometers (in lakh),58.91,37.72,52.47,47.18,54.04,19.88,58.52,37.84,43.88,49.56,49.12,51.18,41.84,33.58,32.42,26.93,,695.06
,,,,,,,,,,,,,,,,,,,
7,Vehicle Utilisation (in kms),436,300,341,339,355,208,366,353,335,345,345,372,313,336,361,350,,344
,,,,,,,,,,,,,,,,,,,
8,Gross kms (in lakh),60.78,38.51,53.88,48.43,55.64,20.65,60.16,38.78,44.83,51.62,51.06,52.02,42.59,34.83,34.14,28.14,,716.06
9,HSD consumed (in lakh),12.84,7.61,10.27,9.19,10.20,4.57,12.18,7.50,8.63,10.25,9.84,11.20,8.68,6.58,6.74,5.36,,141.66
10,KMPL (HSD),4.73,5.06,5.24,5.27,5.45,4.52,4.94,5.17,5.19,5.03,5.19,4.65,4.91,5.29,5.06,5.25,,5.05
,,,,,,,,,,,,,,,,,,,
11,No.of Break  downs,9,8,12,5,3,4,5,6,6,17,5,12,9,5,8,10,,124
,Rate of BD per 10000 km,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.03,,0.02
12,No. of Accidents,6,4,6,0,2,2,3,3,4,2,5,5,4,3,1,2,,52
,Rate of Accdt per 100000 km,0.10,0.11,0.11,0.00,0.04,0.10,0.05,0.08,0.09,0.04,0.10,0.10,0.10,0.09,0.03,0.07,,0.07
,,,,,,,,,,,,,,,,,,,
,Financial performance,,,,,,,,,,,,,,,,,,
13,Traffic Revenue,1947.10,1054.42,1381.19,1211.82,1458.61,630.63,1726.68,978.22,1245.05,1268.84,1286.36,1512.01,1123.38,1008.65,903.72,751.73,18.49,19506.90
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
14,Other Revenue,146.39,41.78,78.38,52.43,103.81,16.38,42.89,32.39,43.44,117.86,56.89,77.72,45.00,67.10,46.28,61.55,133.08,1163.37
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
15,Gross Revenue,2093.49,1096.20,1459.57,1264.25,1562.42,647.01,1769.57,1010.61,1288.49,1386.70,1343.25,1589.73,1168.38,1075.75,950.00,813.28,151.57,20670.27
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
16,Cost of Operation,2958.16,1594.97,2099.50,2027.63,1925.39,1339.83,2613.95,1563.30,1651.83,2096.89,1922.36,2307.75,1852.53,1408.51,1372.03,1103.21,184.76,30022.60
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
17,Margin  (Rs. in lakh),,,,,,,,,,,,,,,,,,
,a. On traffic revenue,-1011.06,-540.55,-718.31,-815.81,-466.78,-709.20,-887.27,-585.08,-406.78,-828.05,-636.00,-795.74,-729.15,-399.86,-468.31,-351.48,-166.27,-10515.70
,b. on gross revenue,-864.67,-498.77,-639.93,-763.38,-362.97,-692.82,-844.38,-552.69,-363.34,-710.19,-579.11,-718.02,-684.15,-332.76,-422.03,-289.93,-33.19,-9352.33
,,,,,,,,,,,,,,,,,,,
18,EPKM (in paise)    ,3305.2,2795.7,2632.6,2568.5,2699.2,3172.2,2950.6,2584.9,2837.4,2560.2,2618.8,2954.5,2685.1,3003.9,2787.6,2791.4,-,2806.5
,(On traffic revenue),,,,,,,,,,,,,,,,,,
19,EPKM (in paise)    ,3553.7,2906.5,2782.0,2679.6,2891.3,3254.6,3023.9,2670.5,2936.4,2798.0,2734.6,3106.3,2792.7,3203.7,2930.4,3020.0,-,2973.9
,(On Gross revenue),,,,,,,,,,,,,,,,,,
20,CPKM (in paise),5021.5,4228.9,4001.7,4297.7,3562.9,6739.6,4466.8,4130.9,3764.4,4231.0,3913.6,4509.4,4428.0,4194.7,4232.2,4096.6,,4319.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BNG©,Bengaluru Central,,,,,,,,,,,,,,,,,
,RMN,Ramanagara,,,,,,,,,,,,,,,,,
,TMK,Tumkuru,,,,,,,,,,,,,,,,,
,KLR,Kolara,,,,,,,,,,,,,,,,,
,CBP,Chikkaballapura,,,,,,,,,,,,,,,,,
,MYS(U),Mysore City,,,,,,,,,,,,,,,,,
,MYS®,Mysore Rural,,,,,,,,,,,,,,,,,
,MDY,Mandya,,,,,,,,,,,,,,,,,
,CJR,Chamarajanagar,,,,,,,,,,,,,,,,,
,HSN,Hassan,,,,,,,,,,,,,,,,,
,CKM,Chikkamagaluru,,,,,,,,,,,,,,,,,
,MNG,Mangaluru,,,,,,,,,,,,,,,,,
,PTR,Puttur,,,,,,,,,,,,,,,,,
,DVG,Davanagere,,,,,,,,,,,,,,,,,
,SMG,Shivamoga,,,,,,,,,,,,,,,,,
,CDG,Chitradurga,,,,,,,,,,,,,,,,,
,KBS,Kempegowda Bus Station is a Division with just Bus stations and no buses of it’s own,,,,,,,,,,,,,,,,,
