KARNATAKA STATE ROAD TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,
DIVISIONWISE OPERATIONAL RESULTS FOR THE MONTH OF NOVEMBER-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sl.No.,Factor,BNG©,RMN,TMK,KLR,CBP,MYS(U),MYS(R),MDY,CJR,HSN,CKM,MNG,PTR,DVG,SMG,CDG,KBS,KSRTC
,Physical performance,,,,,,,,,,,,,,,,,,
1,Schedules,570,469,574,516,514,372,622,414,448,499,477,475,479,332,302,261,,7324
,(As on last day),,,,,,,,,,,,,,,,,,
2,Fleet Held,743,498,619,539,564,431,685,448,509,540,528,589,548,353,352,302,,8248
,(As on last day),,,,,,,,,,,,,,,,,,
3,Fleet Utilisation (%),67.4,80.4,86.2,85.2,87.6,77.3,82.7,79.9,88.5,90.6,92.8,78.1,83,94,80.7,86.3,,83.2
,,,,,,,,,,,,,,,,,,,
4,% off road  vehicles,6.2,4.9,4.8,2.4,2.9,3.9,4.2,7.2,5.3,7.5,3.8,5.5,6.1,3.8,4,6.5,,4.9
,,,,,,,,,,,,,,,,,,,
5,Schedule kms (in lakh),60.35,38.99,57.22,44,47.64,18.81,61.35,35.42,41.39,47.7,49.21,49.11,44.14,33.66,30.67,26.45,,686.1
,,,,,,,,,,,,,,,,,,,
6,Effective Kilometers (in lakh),65.31,39.71,54,46.59,51.25,19.42,64.93,36.49,44.74,49.75,51.83,49.36,43.26,34.38,32.76,27.12,,710.9
,,,,,,,,,,,,,,,,,,,
7,Vehicle Utilisation (in kms),436,327,337,337,346,194,384,338,330,340,353,354,316,346,384,355,,345
,,,,,,,,,,,,,,,,,,,
8,Gross kms (in lakh),67.55,40.84,55.64,47.98,53.36,20.3,66.59,37.65,45.94,52.06,53.48,50.36,44.16,35.39,33.99,28.41,,733.69
9,HSD consumed (in lakh),14.82,8.21,10.81,9.28,9.98,4.54,14.13,7.48,9.06,10.55,10.49,11.12,9.23,6.87,6.89,5.45,,148.92
10,KMPL (HSD),4.56,4.97,5.15,5.17,5.34,4.47,4.71,5.03,5.07,4.93,5.1,4.53,4.78,5.15,4.93,5.21,,4.93
,,,,,,,,,,,,,,,,,,,
11,No.of Break  downs,13,3,21,3,3,0,4,10,7,9,20,22,8,6,14,12,,155
,Rate of BD per 10000 km,0.02,0.01,0.04,0.01,0.01,0,0.01,0.03,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.04,,0.02
12,No. of Accidents,4,4,1,2,5,1,4,2,4,5,8,4,7,2,3,3,,59
