KARNATAKA STATE ROAD TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,
DIVISIONWISE OPERATIONAL RESULTS FOR THE MONTH OF OCTOBER-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sl.No.,Factor,BNG©,RMN,TMK,KLR,CBP,MYS(U),MYS(R),MDY,CJR,HSN,CKM,MNG,PTR,DVG,SMG,CDG,KBS,KSRTC
,Physical performance,,,,,,,,,,,,,,,,,,
1,Schedules,570,462,575,500,518,372,603,403,443,499,482,452,485,332,302,257,,7255
,(As on last day),,,,,,,,,,,,,,,,,,
2,Fleet Held,739,503,619,541,564,431,682,451,511,537,528,600,550,352,352,294,,8254
,(As on last day),,,,,,,,,,,,,,,,,,
3,Fleet Utilisation (%),67.3,85.2,85.6,83.4,88.7,78.1,84.2,81.6,85.3,89.6,93.5,72.9,83.6,93.8,79.8,86.5,,83.1
,,,,,,,,,,,,,,,,,,,
4,% off road  vehicles,5,4.5,4.9,2.9,2.4,4.2,3.9,6.9,5.9,6.5,3.1,7.1,4.9,4.3,4.4,6.8,,4.8
,,,,,,,,,,,,,,,,,,,
5,Schedule kms (in lakh),60.88,41.9,59.28,45.77,49.58,19.25,63.1,37.91,44.85,49.95,51.2,47.91,44.77,34.25,31.44,27.99,,710.03
,,,,,,,,,,,,,,,,,,,
6,Effective Kilometers (in lakh),65.73,43.1,57.31,48.69,53.73,19.88,67.17,38.94,46.39,51.36,54.38,49.53,45.29,34.84,33.49,28.8,,738.64
,,,,,,,,,,,,,,,,,,,
7,Vehicle Utilisation (in kms),427,324,349,348,347,190,380,342,339,344,355,365,318,340,384,365,,347
,,,,,,,,,,,,,,,,,,,
8,Gross kms (in lakh),67.93,44.28,58.83,50.16,55.55,20.81,69.16,39.89,47.44,53.53,56.37,50.46,46.19,36.09,35.06,29.98,,761.72
9,HSD consumed (in lakh),14.74,8.79,11.25,9.58,10.25,4.6,14.41,7.86,9.16,10.7,10.91,10.96,9.53,6.91,6.98,5.69,,152.32
10,KMPL (HSD),4.61,5.04,5.23,5.23,5.42,4.52,4.8,5.08,5.18,5,5.16,4.6,4.85,5.23,5.02,5.27,,5
,,,,,,,,,,,,,,,,,,,
11,No.of Break  downs,24,1,14,6,1,0,12,7,4,12,8,12,9,8,11,9,,138
,Rate of BD per 10000 km,0.04,0,0.02,0.01,0,0,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.03,,0.02
12,No. of Accidents,3,3,2,4,3,0,3,0,6,5,6,3,3,2,2,3,,48
,Rate of Accdt per 100000 km,0.04,0.07,0.03,0.08,0.06,0,0.04,0,0.13,0.1,0.11,0.06,0.07,0.06,0.06,0.1,,0.06
,,,,,,,,,,,,,,,,,,,
,Financial performance,,,,,,,,,,,,,,,,,,
13,Traffic Revenue,2511.89,1377.54,1896.21,1491.73,1772.36,832.12,2323.88,1317.89,1537.16,1650.63,1636.04,1706.01,1468.45,1184.71,1041.83,883.63,22.83,24654.91
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
14,Other Revenue,223.51,49.59,104.45,116.2,134.56,35.2,30.44,28.57,55.08,95.84,70.08,60,40,79.58,59.27,43.09,110.62,1336.08
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
15,Gross Revenue,2735.4,1427.13,2000.66,1607.93,1906.92,867.32,2354.32,1346.46,1592.24,1746.47,1706.12,1766.01,1508.45,1264.29,1101.1,926.72,133.45,25990.99
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
16,Cost of Operation,3326.24,1763.59,2310.93,2145.16,2103.68,1380.42,2835.16,1714.03,1805.09,2202.32,2132.55,2223.43,1879.31,1430.24,1440.96,1180.83,184.51,32058.45
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
17,Margin  (Rs. in lakh),,,,,,,,,,,,,,,,,,
,a. On traffic revenue,-814.35,-386.05,-414.72,-653.43,-331.32,-548.3,-511.28,-396.14,-267.93,-551.69,-496.51,-517.42,-410.86,-245.53,-399.13,-297.2,-161.68,-7403.54
