KARNATAKA STATE ROAD TRANSPORT CORPORATION,,,,,,,,,,,,,,,,,,,
DIVISIONWISE OPERATIONAL RESULTS FOR THE MONTH OF SEPTEMBER-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sl.No.,Factor,BNG©,RMN,TMK,KLR,CBP,MYS(U),MYS(R),MDY,CJR,HSN,CKM,MNG,PTR,DVG,SMG,CDG,KBS,KSRTC
,Physical performance,,,,,,,,,,,,,,,,,,
1,Schedules,556,449,568,504,518,372,588,397,424,484,479,446,470,324,297,257,,7133
,(As on last day),,,,,,,,,,,,,,,,,,
2,Fleet Held,738,503,619,544,564,431,675,451,518,537,528,600,553,354,352,294,,8261
,(As on last day),,,,,,,,,,,,,,,,,,
3,Fleet Utilisation (%),60.4,81.5,85.3,81.4,85.3,76.9,79.3,82.3,81.6,86,88.1,64.4,78.3,91.8,77.8,87.2,,79.5
,,,,,,,,,,,,,,,,,,,
4,% off road  vehicles,6.2,5.9,5.1,1.8,2.6,6,6.3,7.8,6,7.7,4.6,7.5,5.1,4.4,9.9,6.9,,5.8
,,,,,,,,,,,,,,,,,,,
5,Schedule kms (in lakh),54.66,34.43,55.43,42.41,44.17,17.32,58.04,35.96,40.62,46.04,48.52,42.92,37.38,32.27,30.47,27.28,,647.93
,,,,,,,,,,,,,,,,,,,
6,Effective Kilometers (in lakh),57.39,39.48,54.49,44.45,50.42,17.26,60.9,36.56,43.12,46.92,50.64,42.73,39.06,32.56,31.48,27.79,,675.24
,,,,,,,,,,,,,,,,,,,
7,Vehicle Utilisation (in kms),429,321,344,333,349,174,379,328,340,339,363,368,301,334,383,361,,342
,,,,,,,,,,,,,,,,,,,
8,Gross kms (in lakh),59.32,40.62,55.91,45.76,52.2,18.04,62.44,37.49,43.99,48.92,52.45,43.46,39.81,33.78,33.12,29.15,,696.45
9,HSD consumed (in lakh),12.49,8.04,10.61,8.71,9.58,3.89,12.66,7.3,8.45,9.73,10.09,9.25,8.15,6.43,6.45,5.54,,137.37
10,KMPL (HSD),4.75,5.05,5.27,5.26,5.45,4.64,4.93,5.13,5.21,5.03,5.2,4.7,4.88,5.25,5.13,5.26,,5.07
,,,,,,,,,,,,,,,,,,,
11,No.of Break  downs,20,3,9,3,0,0,5,11,7,7,7,12,11,7,11,7,,120
,Rate of BD per 10000 km,0.03,0.01,0.02,0.01,0,0,0.01,0.03,0.02,0.015,0.014,0.03,0.03,0.02,0.03,0.03,,0.02
12,No. of Accidents,5,3,6,5,5,0,2,2,3,4,3,3,3,1,3,2,,50
,Rate of Accdt per 100000 km,0.08,0.07,0.11,0.11,0.1,0,0.03,0.05,0.07,0.09,0.06,0.07,0.08,0.03,0.1,0.07,,0.07
,,,,,,,,,,,,,,,,,,,
,Financial performance,,,,,,,,,,,,,,,,,,
13,Traffic Revenue,1994.02,1180.11,1635.34,1309.02,1567.38,650.76,1864.51,1085.33,1309.92,1370.38,1439.03,1322.46,1160.69,1024.87,914.35,813.22,27.09,20668.48
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
14,Other Revenue,153.51,86.18,89.87,72.92,129.37,42.83,50.7,34.17,55.18,95.74,63.89,70,69.99,66.49,30.22,41.42,83.14,1235.62
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
15,Gross Revenue,2147.53,1266.29,1725.21,1381.94,1696.75,693.59,1915.21,1119.5,1365.1,1466.12,1502.92,1392.46,1230.68,1091.36,944.57,854.64,110.23,21904.1
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
16,Cost of Operation,2894.4,1687.77,2135.21,1947.54,1972.45,1238.73,2502.47,1479.3,1633.56,2040.51,1996.65,1900.45,1746.7,1381.11,1333.08,1114.75,197.55,29202.24
,(Rs. in lakh),,,,,,,,,,,,,,,,,,
17,Margin  (Rs. in lakh),,,,,,,,,,,,,,,,,,
,a. On traffic revenue,-900.38,-507.66,-499.87,-638.52,-405.07,-587.97,-637.96,-393.97,-323.64,-670.13,-557.62,-577.99,-586.01,-356.24,-418.73,-301.53,-170.46,-8533.76
,b. on gross revenue,-746.87,-421.48,-410,-565.6,-275.7,-545.14,-587.26,-359.8,-268.46,-574.39,-493.73,-507.99,-516.02,-289.75,-388.51,-260.11,-87.32,-7298.14
,,,,,,,,,,,,,,,,,,,
18,EPKM (in paise)    ,3474.3,2989.3,3001.1,2944.9,3108.4,3770.3,3061.6,2968.6,3037.8,2920.7,2841.9,3095,2971.7,3147.7,2904.7,2926.7,-,3060.9
,(On traffic revenue),,,,,,,,,,,,,,,,,,
